ym,age,rent
202301,20대,484728
202301,30대,400816
202301,40대,247610
202301,50대,175293
202301,60대,62929
202301,70대이상,9710
202301,~10대,67934
202301,기타,122333
202302,20대,705450
202302,30대,557501
202302,40대,342957
202302,50대,243901
202302,60대,85699
202302,70대이상,12740
202302,~10대,105821
202302,기타,177421
202303,20대,1323487
202303,30대,955016
202303,40대,564981
202303,50대,382564
202303,60대,123077
202303,70대이상,17542
202303,~10대,198094
202303,기타,320748
202304,20대,1395229
202304,30대,1008990
202304,40대,581980
202304,50대,381408
202304,60대,118960
202304,70대이상,17882
202304,~10대,235807
202304,기타,341809
202305,20대,1685604
202305,30대,1234978
202305,40대,711596
202305,50대,464645
202305,60대,142120
202305,70대이상,21173
202305,~10대,290462
202305,기타,402226
202306,20대,1647774
202306,30대,1223815
202306,40대,714824
202306,50대,475094
202306,60대,143261
202306,70대이상,21738
202306,~10대,309695
202306,기타,397332
202307,20대,1305957
202307,30대,961151
202307,40대,568151
202307,50대,389948
202307,60대,122443
202307,70대이상,18504
202307,~10대,257409
202307,기타,308349
202308,20대,1330296
202308,30대,969428
202308,40대,555987
202308,50대,379035
202308,60대,122870
202308,70대이상,17308
202308,~10대,254228
202308,기타,306288
202309,20대,1557085
202309,30대,1100205
202309,40대,644199
202309,50대,430166
202309,60대,134025
202309,70대이상,18846
202309,~10대,305471
202309,기타,358994
202310,20대,1790814
202310,30대,1284091
202310,40대,767679
202310,50대,504388
202310,60대,155402
202310,70대이상,21682
202310,~10대,356602
202310,기타,412535
202311,20대,1103545
202311,30대,825218
202311,40대,526664
202311,50대,358248
202311,60대,114800
202311,70대이상,16527
202311,~10대,239105
202311,기타,249826
202312,20대,649498
202312,30대,503635
202312,40대,330090
202312,50대,231530
202312,60대,79070
202312,70대이상,11829
202312,~10대,148429
202312,기타,150361
202401,20대,556647
202401,30대,531782
202401,40대,323963
202401,50대,239471
202401,60대,86770
202401,70대이상,14675
202401,~10대,91493
202401,기타,138549
202402,20대,583325
202402,30대,531510
202402,40대,322010
202402,50대,241197
202402,60대,86407
202402,70대이상,14831
202402,~10대,104078
202402,기타,148347
202403,20대,942934
202403,30대,809395
202403,40대,495514
202403,50대,351848
202403,60대,120963
202403,70대이상,19881
202403,~10대,173537
202403,기타,237149
202404,20대,1418922
202404,30대,1201585
202404,40대,703781
202404,50대,477214
202404,60대,156124
202404,70대이상,24480
202404,~10대,263332
202404,기타,354466
202405,20대,1428407
202405,30대,1251318
202405,40대,748169
202405,50대,512788
202405,60대,167918
202405,70대이상,26033
202405,~10대,293724
202405,기타,360686
202406,20대,1435885
202406,30대,1275082
202406,40대,760820
202406,50대,520865
202406,60대,169521
202406,70대이상,26281
202406,~10대,313834
202406,기타,355673
202407,20대,1058865
202407,30대,961332
202407,40대,593323
202407,50대,425816
202407,60대,145472
202407,70대이상,23337
202407,~10대,249426
202407,기타,265662
202408,20대,1200952
202408,30대,1041553
202408,40대,609496
202408,50대,428962
202408,60대,145920
202408,70대이상,22821
202408,~10대,264401
202408,기타,284229
202409,20대,1290218
202409,30대,1103603
202409,40대,652933
202409,50대,442585
202409,60대,145625
202409,70대이상,23719
202409,~10대,285142
202409,기타,306938
202410,20대,1378287
202410,30대,1214065
202410,40대,752657
202410,50대,505872
202410,60대,163392
202410,70대이상,25943
202410,~10대,311858
202410,기타,334679
202411,20대,988347
202411,30대,894020
202411,40대,581404
202411,50대,398029
202411,60대,133975
202411,70대이상,22073
202411,~10대,241071
202411,기타,240278
202412,20대,605425
202412,30대,572974
202412,40대,387754
202412,50대,281012
202412,60대,99496
202412,70대이상,17429
202412,~10대,163615
202412,기타,150390
202501,20대,415850
202501,30대,464926
202501,40대,292949
202501,50대,224371
202501,60대,87846
202501,70대이상,17000
202501,~10대,89298
202501,기타,112096
202502,20대,386782
202502,30대,447640
202502,40대,286987
202502,50대,217527
202502,60대,84235
202502,70대이상,16792
202502,~10대,81180
202502,기타,108397
202503,20대,751013
202503,30대,771693
202503,40대,489649
202503,50대,351987
202503,60대,131920
202503,70대이상,24382
202503,~10대,158583
202503,기타,197724
202504,20대,953193
202504,30대,999927
202504,40대,620325
202504,50대,426012
202504,60대,152807
202504,70대이상,28236
202504,~10대,198322
202504,기타,251978
202505,20대,1021479
202505,30대,1053149
202505,40대,644196
202505,50대,445331
202505,60대,159018
202505,70대이상,29363
202505,~10대,235480
202505,기타,271372
202506,20대,1063104
202506,30대,1101992
202506,40대,670547
202506,50대,461012
202506,60대,163868
202506,70대이상,30331
202506,~10대,255348
202506,기타,278113
202507,20대,925058
202507,30대,971649
202507,40대,583152
202507,50대,413938
202507,60대,151894
202507,70대이상,28071
202507,~10대,225203
202507,기타,237238
202508,20대,958954
202508,30대,971743
202508,40대,573685
202508,50대,406707
202508,60대,149648
202508,70대이상,27059
202508,~10대,227497
202508,기타,243932
202509,20대,1064226
202509,30대,1085292
202509,40대,671227
202509,50대,456633
202509,60대,163665
202509,70대이상,29592
202509,~10대,251040
202509,기타,270651
202510,20대,879214
202510,30대,912973
202510,40대,584021
202510,50대,402747
202510,60대,145002
202510,70대이상,26434
202510,~10대,225346
202510,기타,232074
202511,20대,801626
202511,30대,844960
202511,40대,559389
202511,50대,389303
202511,60대,141645
202511,70대이상,25942
202511,~10대,213765
202511,기타,210355
202512,20대,468763
202512,30대,516291
202512,40대,352927
202512,50대,253788
202512,60대,98241
202512,70대이상,19123
202512,~10대,131362
202512,기타,124679
