ym,usertype,rent
202301,단체권,7011
202301,일일권,169708
202301,일일권(비회원),6807
202301,정기권,1387827
202302,단체권,15860
202302,일일권,306007
202302,일일권(비회원),14239
202302,정기권,1895384
202303,단체권,2336
202303,일일권,684065
202303,일일권(비회원),34469
202303,정기권,3164639
202304,단체권,3
202304,일일권,771429
202304,일일권(비회원),41802
202304,정기권,3268831
202305,단체권,2
202305,일일권,866114
202305,일일권(비회원),47009
202305,정기권,4039679
202306,단체권,2
202306,일일권,823292
202306,일일권(비회원),46321
202306,정기권,4063918
202307,일일권,576704
202307,일일권(비회원),31274
202307,정기권,3323934
202308,단체권,1
202308,일일권,595122
202308,일일권(비회원),31611
202308,정기권,3308706
202309,일일권,810781
202309,일일권(비회원),44642
202309,정기권,3693568
202310,일일권,944121
202310,일일권(비회원),53292
202310,정기권,4295780
202311,일일권,391128
202311,일일권(비회원),21125
202311,정기권,3021680
202312,일일권,230593
202312,일일권(비회원),10562
202312,정기권,1863287
202401,일일권,205928
202401,일일권(비회원),8655
202401,정기권,1768767
202402,일일권,294876
202402,일일권(비회원),13677
202402,정기권,1723152
202403,일일권,521192
202403,일일권(비회원),27361
202403,정기권,2602668
202404,일일권,902903
202404,일일권(비회원),49659
202404,정기권,3647342
202405,일일권,859867
202405,일일권(비회원),47848
202405,정기권,3881328
202406,일일권,808449
202406,일일권(비회원),43099
202406,정기권,4006413
202407,일일권,514915
202407,일일권(비회원),27114
202407,정기권,3181204
202408,일일권,592299
202408,일일권(비회원),29060
202408,정기권,3376975
202409,일일권,764814
202409,일일권(비회원),37993
202409,정기권,3447956
202410,일일권,818463
202410,일일권(비회원),41759
202410,정기권,3826531
202411,일일권,499831
202411,일일권(비회원),23644
202411,정기권,2975722
202412,일일권,238194
202412,일일권(비회원),10304
202412,정기권,2029597
202501,일일권,185246
202501,일일권(비회원),7022
202501,정기권,1512068
202502,일일권,178925
202502,일일권(비회원),7127
202502,정기권,1443488
202503,일일권,466726
202503,일일권(비회원),21066
202503,정기권,2389159
202504,일일권,629398
202504,일일권(비회원),30424
202504,정기권,2970978
202505,일일권,726967
202505,일일권(비회원),36947
202505,정기권,3095474
202506,가족권,4723
202506,가족권(2시간),1925
202506,일일권,704475
202506,일일권(비회원),35780
202506,정기권,3277412
202507,가족권,2521
202507,가족권(2시간),813
202507,일일권,496636
202507,일일권(비회원),24355
202507,정기권,3011878
202508,가족권,3601
202508,가족권(2시간),1246
202508,일일권,573099
202508,일일권(비회원),28347
202508,정기권,2952932
202509,가족권,3997
202509,가족권(2시간),1338
202509,가족권(3시간),17
202509,일일권,660108
202509,일일권(비회원),32921
202509,정기권,3293945
202510,가족권,5679
202510,가족권(2시간),2608
202510,일일권,594003
202510,일일권(3시간),1
202510,일일권(비회원),30962
202510,정기권,2774558
202511,가족권,3483
202511,가족권(2시간),1142
202511,가족권(3시간),163
202511,일일권,457957
202511,일일권(3시간),2967
202511,일일권(비회원 3시간),435
202511,일일권(비회원),22397
202511,정기권,2698441
202512,가족권,764
202512,가족권(2시간),152
202512,가족권(3시간),38
202512,일일권,204926
202512,일일권(3시간),1728
202512,일일권(비회원 3시간),232
202512,일일권(비회원),8743
202512,정기권,1748591
