sid,ym,rent,dist_m,dur_min,carbon
102,202301,1406,2754991.26,32102,639.34
102,202302,2034,4094810.38,46755,950.18
102,202303,3811,9211155.1,92386,2132.14
102,202304,3921,10311233.91,98816,2392.31
102,202305,4793,13025075.52,127304,3015.52
102,202306,4763,13518876.81,132796,3131.27
102,202307,3857,9276323.83,100918,2144.48
102,202308,3830,9542240.6,102612,2204.43
102,202309,4480,11863711.64,121125,2740.14
102,202310,5225,13781551.21,140528,3181.55
102,202311,3128,5932460.4799999995,69712,1372.74
102,202312,1874,3651758.06,43227,839.93
102,202401,1605,3172454.76,37717,731.68
102,202402,1671,3463519.29,39534,795.65
102,202403,2784,6598377.14,71025,1517.59
102,202404,4629,12258684.23,127470,2830.38
102,202405,4733,12251849.63,125763,2834.24
102,202406,4636,12618885.63,127210,2915.5
102,202407,3363,7703718.13,80107,1781.84
102,202408,3979,9659748.3,110270,2220.85
102,202409,4224,10840483.3,116690,2492.02
102,202410,4717,11895289.89,127913,2744.76
102,202411,3251,7283464.05,83753,1675.77
102,202412,1885,3439708.83,38332,795.4
102,202501,1563,3701895.93,39458,858.13
102,202502,1390,3316148.14,36660,764.59
102,202503,2493,6198679.75,64891,1428.76
102,202504,3348,8824213.06,89675,2030.1599999999999
102,202505,3859,10547553.89,110248,2434.7599999999998
102,202506,3865,10562645.3,109429,2443.1
102,202507,3319,8268887.3100000005,87949,1908.55
102,202508,3164,8250365.24,93388,1903.39
102,202509,3818,10730308.13,112890,2469.18
102,202510,3198,8390718.27,89363,1937.07
102,202511,2887,6920284.49,78055,1600.07
102,202512,1636,3239273.77,40550,745.34
103,202301,921,1995789.09,22623,463.0
103,202302,1338,3526830.64,37075,818.4300000000001
103,202303,2905,8157431.7700000005,82926,1888.41
103,202304,3531,10391385.31,107183,2411.0
103,202305,4483,14013319.17,132338,3240.62
103,202306,4290,13607304.0,129832,3145.6
103,202307,3171,8942238.54,90156,2062.73
103,202308,3247,9318703.83,93906,2156.78
103,202309,3970,12068205.42,118697,2785.96
103,202310,4408,12774085.6,125433,2954.27
103,202311,2298,4875810.21,56130,1127.55
103,202312,1289,2738505.08,30509,630.49
103,202401,1147,2576354.29,30112,595.35
103,202402,1288,3275569.92,33969,757.9300000000001
103,202403,2199,6035060.89,62361,1386.1
103,202404,3837,11934424.68,114548,2760.37
103,202405,4139,12257904.24,125301,2834.12
103,202406,4293,13257535.63,131768,3068.46
103,202407,2614,6950960.41,74080,1608.03
103,202408,3121,8768156.41,93594,2026.79
103,202409,3803,12343057.540000001,122139,2844.88
103,202410,4111,11935479.34,122972,2754.73
103,202411,2493,6691411.79,67336,1545.6299999999999
103,202412,1357,2954475.73,32035,678.29
103,202501,1091,2548596.91,28660,589.96
103,202502,1083,2567000.48,27664,588.42
103,202503,2073,6027767.92,60409,1392.98
103,202504,2589,8281726.25,82053,1914.08
103,202505,3174,10569748.950000001,99530,2448.69
103,202506,3172,9789361.43,97468,2261.04
103,202507,2445,7381612.59,73892,1706.85
103,202508,2514,7746467.18,80047,1791.17
103,202509,2853,9248098.11,92590,2138.56
103,202510,2386,7142612.67,73513,1652.95
103,202511,1821,5101315.85,55173,1179.66
103,202512,969,2474692.23,28126,570.17
104,202301,884,1909481.4300000002,22596,442.94
104,202302,1129,2704801.74,30054,627.59
104,202303,2208,6475874.84,62873,1501.1299999999999
104,202304,2114,6361244.42,60597,1475.79
104,202305,2332,7250538.5,69249,1676.49
104,202306,2201,7008546.2,66828,1620.93
104,202307,1754,5092039.87,52570,1173.86
104,202308,1792,5281947.97,53566,1223.59
104,202309,2116,6900791.41,68182,1594.34
104,202310,2902,9132244.959999999,89447,2105.94
104,202311,1695,3947597.8,48629,912.09
104,202312,1101,2433243.05,27923,560.76
104,202401,999,2295564.96,24855,530.53
104,202402,998,2351634.38,24293,542.98
104,202403,1659,4643218.62,47954,1074.87
104,202404,2446,7894991.42,77769,1823.84
104,202405,2222,7065998.55,69828,1626.03
104,202406,1894,5951708.72,59567,1377.18
104,202407,1580,4699833.99,45473,1088.25
104,202408,1635,4542055.15,49343,1049.32
104,202409,1876,5746106.94,57623,1324.91
104,202410,2045,5634575.05,63055,1295.82
104,202411,1589,4407447.84,47868,1020.8299999999999
104,202412,1029,2285275.65,28000,528.91
104,202501,788,1937482.84,22253,447.92
104,202502,753,1856881.59,20110,430.73
104,202503,1342,4040208.2,39442,934.05
104,202504,1650,5205157.7299999995,51593,1202.8799999999999
104,202505,1685,5286988.01,51184,1219.82
104,202506,1455,4475323.63,43295,1033.15
104,202507,1351,3789214.6,40562,875.79
104,202508,1466,3950674.04,41758,914.61
104,202509,1644,4915967.66,51002,1133.37
104,202510,1472,4408111.76,44938,1019.7
104,202511,1256,3391713.17,33270,786.4
104,202512,759,1696264.27,20064,392.96999999999997
105,202301,385,705213.02,8039,163.6
105,202302,602,1493252.76,14781,346.42
105,202303,1229,3638322.35,35392,844.01
105,202304,1334,4138770.22,39383,960.04
105,202305,1471,4524833.63,45176,1048.13
105,202306,1350,4516457.04,42868,1042.8
105,202307,993,3143568.1,28809,728.02
105,202308,915,2862166.62,27132,662.1
105,202309,1227,3882177.88,37476,900.53
105,202310,1620,5272532.24,48611,1217.82
105,202311,848,1807986.01,20680,418.86
105,202312,659,1489414.91,16492,343.8
105,202401,585,1310667.03,13610,304.01
105,202402,684,1602222.22,16293,367.51
105,202403,1063,3002907.1599999997,32001,692.98
105,202404,1520,4703020.149999999,46001,1078.69
105,202405,1283,4289766.89,40704,989.38
105,202406,1246,3996525.78,37778,923.47
105,202407,879,2560669.85,26321,592.71
105,202408,939,2588850.98,27491,599.88
105,202409,975,3091288.59,29427,714.42
105,202410,998,3013045.42,33992,692.62
105,202411,841,2196216.39,23346,508.63
105,202412,580,1158765.4,15333,264.36
105,202501,459,936865.35,10447,217.47
105,202502,390,805591.97,9419,186.31
105,202503,816,2316433.55,24473,532.35
105,202504,985,3190195.67,31133,733.66
105,202505,882,2817590.55,26772,652.27
105,202506,839,2872440.53,26578,662.88
105,202507,679,2023646.9,20162,468.36
105,202508,842,2727823.21,26747,628.03
105,202509,921,2959285.41,28521,679.1700000000001
105,202510,801,2377911.56,24703,550.93
105,202511,820,2220625.07,20969,511.34
105,202512,475,1076874.6,12083,249.45
106,202301,841,2446087.33,24109,567.51
106,202302,1566,5716157.88,51343,1326.32
106,202303,4099,17778297.83,151438,4123.16
106,202304,4334,19696507.69,166110,4569.3
106,202305,4773,21500611.77,180829,4966.31
106,202306,4223,18285566.65,153648,4223.54
106,202307,2689,9712545.57,86060,2240.3
106,202308,2659,10210112.09,89356,2358.57
106,202309,4106,18261121.37,160476,4225.25
106,202310,4589,18955135.11,173532,4378.21
106,202311,1573,4519897.35,45052,1048.05
106,202312,1013,3161376.82,27822,732.06
106,202401,867,2767692.88,23941,638.05
106,202402,1291,4861355.83,43110,1123.3700000000001
106,202403,2539,11147594.26,100416,2568.02
106,202404,4791,23091523.65,196434,5328.95
106,202405,4062,18297518.64,155478,4221.25
106,202406,3387,14880194.29,127372,3438.46
106,202407,1979,8031630.57,67893,1853.98
106,202408,1963,8115507.82,74498,1881.45
106,202409,3129,14072036.33,124172,3244.36
106,202410,3714,15810407.67,148273,3647.67
106,202411,1949,8385949.06,72882,1935.82
106,202412,851,3034154.3,26689,703.04
106,202501,666,2323128.4899999998,22172,538.2
106,202502,729,2477602.9899999998,22847,571.73
106,202503,2076,8592952.95,75788,1984.04
106,202504,2992,13827611.75,117108,3187.31
106,202505,3152,14713586.88,127462,3401.72
106,202506,2746,12522636.709999999,107670,2896.91
106,202507,1641,6392965.74,55597,1479.2
106,202508,2001,7994178.89,67634,1834.71
106,202509,2781,11707287.52,102681,2703.64
106,202510,2172,9697393.65,80995,2236.1
106,202511,1677,6153764.78,54856,1418.93
106,202512,739,1871179.21,18433,432.3
107,202301,872,1494338.51,17373,346.65
107,202302,1240,2216938.93,25794,514.28
107,202303,2073,4566298.74,45225,1059.07
107,202304,2221,4997512.01,56684,1159.52
107,202305,2728,6368258.26,65032,1471.88
107,202306,2638,6485160.13,68336,1500.04
107,202307,2266,4908805.66,55504,1132.38
107,202308,2369,5326364.38,55493,1231.6
107,202309,2461,5545667.54,56901,1278.85
107,202310,2831,6338097.47,68104,1464.1
107,202311,1744,2939167.07,40006,680.56
107,202312,1012,1726573.35,19622,398.65
107,202401,976,1665127.28,21998,382.13
107,202402,958,1756820.15,21714,402.51
107,202403,1568,3366502.37,36835,778.11
107,202404,2622,6042581.2,59920,1394.57
107,202405,2646,6207932.42,66014,1439.66
107,202406,2844,6414833.01,72726,1483.87
107,202407,2161,4135252.08,49706,954.1600000000001
107,202408,2528,4955827.66,59930,1147.08
107,202409,2573,5938937.38,62482,1371.47
107,202410,2840,6148989.15,69868,1422.79
107,202411,2054,3847446.09,43373,889.14
107,202412,1303,2165003.61,25981,500.39
107,202501,978,1652196.29,19162,381.57
107,202502,881,1523402.62,16972,350.2
107,202503,1552,3263117.8200000003,32063,754.34
107,202504,1172,2574517.46,26000,590.64
107,202505,1357,2988961.83,30507,692.73
107,202506,1390,3190002.33,34850,736.96
107,202507,1353,2872215.48,30780,661.83
107,202508,1505,3280854.89,36751,757.72
107,202509,1724,3777450.08,43758,867.76
107,202510,1347,2962718.43,33047,685.32
107,202511,1297,2475236.63,30679,573.38
107,202512,732,1140373.8,15853,264.31
108,202301,859,1809038.75,18696,419.8
108,202302,1154,2785585.16,27615,646.29
108,202303,2054,5423271.32,51217,1255.51
108,202304,2084,6320986.1899999995,57153,1466.3700000000001
108,202305,2551,7715764.88,77980,1781.69
108,202306,2505,7577639.2700000005,80421,1749.21
108,202307,2019,5894570.42,61444,1358.53
108,202308,1941,5951029.08,58811,1374.78
108,202309,2229,7137971.39,71609,1647.83
108,202310,2673,8409134.86,83051,1940.77
108,202311,1430,3103355.97,34721,718.13
108,202312,845,2025977.07,21613,469.67
108,202401,784,1805773.0899999999,17716,417.66
108,202402,926,2560471.0,24470,591.65
108,202403,1388,3741750.58,37838,861.42
108,202404,2162,6790380.5,65277,1569.44
108,202405,2062,6536075.359999999,59663,1513.81
108,202406,2220,6403866.5200000005,63382,1484.49
108,202407,1597,4366653.33,43735,1011.52
108,202408,1787,5056955.38,54095,1169.08
108,202409,2012,6198861.18,63156,1434.18
108,202410,2207,6582825.77,69655,1514.76
108,202411,1692,4560036.41,47335,1049.1299999999999
108,202412,937,2502739.4,25783,579.61
108,202501,670,1593316.81,17570,368.41
108,202502,629,1585996.47,15428,366.49
108,202503,1239,3765898.71,36211,869.79
108,202504,1571,4917635.62,47918,1138.31
108,202505,1773,5791703.38,57701,1331.05
108,202506,1576,5391047.68,52303,1224.1299999999999
108,202507,1277,3749979.94,38132,865.06
108,202508,1370,4118224.25,41240,952.76
108,202509,1540,4976674.06,48618,1142.2
108,202510,1249,3471068.5500000003,35687,802.15
108,202511,1184,3216468.06,32037,745.01
108,202512,615,1414920.81,15001,326.02
109,202301,495,1305624.3,16338,302.93
109,202302,797,2767440.93,28446,642.06
109,202303,1622,6227161.62,58242,1444.2
109,202304,1708,6367671.9399999995,57288,1477.18
109,202305,2105,8619653.26,71609,1995.89
109,202306,1900,7699659.18,63454,1781.86
109,202307,1530,5390809.07,49063,1240.57
109,202308,1488,5808478.51,50310,1341.72
109,202309,1769,7147515.75,60407,1654.59
109,202310,2085,7972106.28,70812,1841.83
109,202311,1157,3444875.59,37153,799.0699999999999
109,202312,703,1962861.09,18822,453.58
109,202401,545,1523881.04,16023,352.89
109,202402,470,1465464.78,13173,338.56
111,202301,347,873532.37,8108,202.62
111,202302,559,1845744.74,16300,428.23
111,202303,1385,5431658.99,45694,1259.6299999999999
111,202304,1309,4983027.87,41471,1155.99
111,202305,1558,6640336.9,51526,1536.2
111,202306,1307,5604894.51,49685,1296.77
111,202307,744,2842346.9,22938,655.47
111,202308,755,2939557.64,24153,676.65
111,202309,1226,5215879.58,41336,1206.75
111,202310,1430,6082303.37,49224,1405.85
111,202311,599,1791225.63,16236,414.87
